,RegionName_x,State_x,Median_Household_Income_2020,Median_House_Price,Ratio_Income_to_House,Rank,lat,lng,Location,RegionName_y,State_y,Life Expectancy Rank,Life_Expectancy,Tax Rank,Tax Rate,overall rank
38,Clark,AR,46464,86851.87239,0.534979831,741,45.7792,-122.4825,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
39,Clark,AR,46464,86851.87239,0.534979831,741,39.9168,-83.7838,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
40,Clark,AR,46464,86851.87239,0.534979831,741,38.4772,-85.7073,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
41,Clark,AR,46464,86851.87239,0.534979831,741,37.9708,-84.1474,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
42,Clark,AR,46464,86851.87239,0.534979831,741,44.7347,-90.6121,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
43,Clark,AR,46464,86851.87239,0.534979831,741,34.051,-93.1764,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
44,Clark,AR,46464,86851.87239,0.534979831,741,39.3336,-87.7877,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
45,Clark,AR,46464,86851.87239,0.534979831,741,40.4103,-91.7384,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
46,Clark,AR,46464,86851.87239,0.534979831,741,44.8582,-97.7295,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
47,Clark,AR,46464,86851.87239,0.534979831,741,37.2355,-99.8203,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
48,Clark,AR,46464,86851.87239,0.534979831,741,44.2839,-112.3512,ClarkCounty AR,Clark, AR,2659,74.98,597,0.077542151,3256
49,Clark,OH,54507,114896.6527,0.474400243,1054,36.2152,-115.0135,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
50,Clark,OH,54507,114896.6527,0.474400243,1054,45.7792,-122.4825,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
51,Clark,OH,54507,114896.6527,0.474400243,1054,39.9168,-83.7838,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
52,Clark,OH,54507,114896.6527,0.474400243,1054,38.4772,-85.7073,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
53,Clark,OH,54507,114896.6527,0.474400243,1054,37.9708,-84.1474,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
54,Clark,OH,54507,114896.6527,0.474400243,1054,44.7347,-90.6121,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
55,Clark,OH,54507,114896.6527,0.474400243,1054,34.051,-93.1764,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
56,Clark,OH,54507,114896.6527,0.474400243,1054,39.3336,-87.7877,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
57,Clark,OH,54507,114896.6527,0.474400243,1054,40.4103,-91.7384,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
58,Clark,OH,54507,114896.6527,0.474400243,1054,44.8582,-97.7295,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
59,Clark,OH,54507,114896.6527,0.474400243,1054,37.2355,-99.8203,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
60,Clark,OH,54507,114896.6527,0.474400243,1054,44.2839,-112.3512,ClarkCounty OH,Clark, OH,2823,74.31463415,597,0.077542151,3420
61,Clark,KY,58340,149744.3498,0.389597338,1644,36.2152,-115.0135,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
62,Clark,KY,58340,149744.3498,0.389597338,1644,45.7792,-122.4825,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
63,Clark,KY,58340,149744.3498,0.389597338,1644,39.9168,-83.7838,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
64,Clark,KY,58340,149744.3498,0.389597338,1644,38.4772,-85.7073,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
65,Clark,KY,58340,149744.3498,0.389597338,1644,37.9708,-84.1474,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
66,Clark,KY,58340,149744.3498,0.389597338,1644,44.7347,-90.6121,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
67,Clark,KY,58340,149744.3498,0.389597338,1644,34.051,-93.1764,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
68,Clark,KY,58340,149744.3498,0.389597338,1644,39.3336,-87.7877,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
69,Clark,KY,58340,149744.3498,0.389597338,1644,40.4103,-91.7384,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
70,Clark,KY,58340,149744.3498,0.389597338,1644,44.8582,-97.7295,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
71,Clark,KY,58340,149744.3498,0.389597338,1644,37.2355,-99.8203,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
72,Clark,KY,58340,149744.3498,0.389597338,1644,44.2839,-112.3512,ClarkCounty KY,Clark, KY,2724,74.73,597,0.077542151,3321
73,Clark,IN,65555,171166.3748,0.382989942,1693,36.2152,-115.0135,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
74,Clark,IN,65555,171166.3748,0.382989942,1693,45.7792,-122.4825,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
75,Clark,IN,65555,171166.3748,0.382989942,1693,39.9168,-83.7838,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
76,Clark,IN,65555,171166.3748,0.382989942,1693,38.4772,-85.7073,ClarkCounty IN,Clark, IN,2530,75.32692308,597,0.077542151,3127
