State,Area name,no_hs_diploma,hs_diploma,some_college,bachelors_up
GA,Towns County,7.5,28.3,32.7,31.5
GA,Treutlen County,24.8,42.2,18.8,14.2
GA,Troup County,12.9,36.0,31.4,19.7
GA,Turner County,20.3,34.0,34.8,10.9
GA,Twiggs County,19.6,42.2,27.0,11.2
GA,Union County,12.3,33.8,29.0,24.9
GA,Upson County,17.3,35.2,32.9,14.6
GA,Walker County,15.6,34.6,30.3,19.5
GA,Walton County,12.2,33.8,30.8,23.2
GA,Ware County,18.2,41.9,25.6,14.3
GA,Warren County,28.5,38.5,23.8,9.2
GA,Washington County,16.0,46.0,21.7,16.2
GA,Wayne County,15.5,43.8,27.2,13.5
GA,Webster County,19.4,31.5,35.6,13.6
GA,Wheeler County,27.0,49.2,14.6,9.1
GA,White County,14.8,31.1,32.2,21.8
GA,Whitfield County,27.7,31.4,23.3,17.6
GA,Wilcox County,17.7,40.4,29.2,12.6
GA,Wilkes County,19.2,45.6,23.1,12.1
GA,Wilkinson County,13.3,51.7,25.0,10.0
GA,Worth County,15.1,43.8,30.3,10.8
HI,Hawaii,7.3,26.8,31.5,34.3
HI,Hawaii County,7.2,29.4,33.3,30.2
HI,Honolulu County,7.3,25.6,30.9,36.2
HI,Kalawao County,6.4,27.7,29.8,36.2
HI,Kauai County,7.9,29.5,32.5,30.1
HI,Maui County,7.4,30.1,32.4,30.0
ID,Idaho,8.8,26.5,35.5,29.1
ID,Ada County,5.0,20.8,33.4,40.7
ID,Adams County,7.5,37.4,36.7,18.5
ID,Bannock County,6.7,25.7,38.7,29.0
ID,Bear Lake County,6.9,37.5,36.5,19.1
ID,Benewah County,14.2,36.3,31.3,18.2
ID,Bingham County,10.7,33.6,36.2,19.6
ID,Blaine County,10.0,24.1,23.5,42.4
ID,Boise County,5.3,30.7,36.2,27.8
ID,Bonner County,8.1,30.4,34.9,26.6
ID,Bonneville County,7.5,25.3,35.9,31.3
ID,Boundary County,11.7,37.8,34.2,16.3
ID,Butte County,10.8,32.1,42.4,14.7
ID,Camas County,20.5,26.5,29.7,23.4
ID,Canyon County,13.5,30.1,35.7,20.7
ID,Caribou County,10.3,28.8,42.0,18.9
ID,Cassia County,15.7,29.3,36.3,18.7
ID,Clark County,34.6,27.1,19.0,19.2
ID,Clearwater County,7.6,35.1,39.3,18.1
ID,Custer County,13.0,28.7,30.8,27.5
ID,Elmore County,10.7,29.9,39.8,19.5
ID,Franklin County,7.3,46.7,30.5,15.5
ID,Fremont County,11.5,28.5,38.7,21.3
ID,Gem County,12.2,34.4,32.2,21.3
ID,Gooding County,22.8,34.3,27.4,15.5
ID,Idaho County,7.8,33.0,37.1,22.0
ID,Jefferson County,8.2,24.4,42.2,25.2
ID,Jerome County,23.7,29.7,33.0,13.6
ID,Kootenai County,6.5,27.0,40.1,26.5
ID,Latah County,3.5,20.5,32.1,43.9
ID,Lemhi County,10.0,29.8,38.3,21.9
ID,Lewis County,10.0,27.2,43.8,18.9
ID,Lincoln County,18.7,34.0,35.6,11.8
ID,Madison County,4.4,17.4,41.9,36.3
ID,Minidoka County,20.9,34.5,31.7,12.9
ID,Nez Perce County,6.8,30.2,37.6,25.4
ID,Oneida County,9.9,35.8,31.8,22.5
ID,Owyhee County,25.1,31.0,30.6,13.3
ID,Payette County,13.9,35.8,31.8,18.5
ID,Power County,20.5,32.3,33.4,13.8
ID,Shoshone County,11.6,37.0,40.2,11.3
ID,Teton County,7.6,17.8,28.0,46.6
ID,Twin Falls County,13.0,27.5,36.1,23.5
ID,Valley County,9.5,25.0,36.1,29.5
ID,Washington County,12.2,30.0,40.4,17.5
IL,Illinois,10.1,25.4,28.3,36.2
IL,Adams County,7.6,34.9,31.8,25.7
IL,Alexander County,13.8,37.7,36.2,12.3
IL,Bond County,11.2,32.7,34.9,21.2
IL,Boone County,12.9,32.5,29.8,24.8
IL,Brown County,19.3,38.3,29.4,13.0
IL,Bureau County,9.4,35.5,34.7,20.4
IL,Calhoun County,7.2,40.6,34.8,17.3
IL,Carroll County,12.1,36.2,31.8,19.9
IL,Cass County,15.1,41.8,24.9,18.2
IL,Champaign County,5.2,21.4,27.9,45.5
IL,Christian County,10.6,41.8,29.4,18.2
IL,Clark County,7.0,37.3,32.4,23.4
IL,Clay County,11.6,39.2,34.4,14.8
IL,Clinton County,8.7,32.7,35.5,23.1
IL,Coles County,8.1,32.3,33.9,25.7
IL,Cook County,12.0,22.4,24.8,40.7
IL,Crawford County,13.7,28.9,40.1,17.3
IL,Cumberland County,7.1,39.0,34.8,19.2
IL,DeKalb County,7.4,25.3,34.2,33.2
IL,De Witt County,6.9,42.0,30.2,20.9
IL,Douglas County,16.1,34.2,30.5,19.1
IL,DuPage County,6.5,18.1,24.7,50.7
IL,Edgar County,12.0,38.5,31.2,18.2
IL,Edwards County,7.9,34.4,44.4,13.3
IL,Effingham County,6.9,32.8,37.2,23.1
IL,Fayette County,13.6,41.0,32.8,12.6
IL,Ford County,8.2,35.2,34.8,21.7
IL,Franklin County,10.4,32.7,39.1,17.7
IL,Fulton County,10.5,37.0,34.3,18.3
IL,Gallatin County,12.0,39.2,37.9,11.0
IL,Greene County,9.3,44.6,29.6,16.5
IL,Grundy County,6.4,31.7,35.3,26.6
IL,Hamilton County,11.8,32.3,37.1,18.7
IL,Hancock County,6.6,34.4,34.5,24.5
IL,Hardin County,15.2,34.2,37.2,13.4
IL,Henderson County,7.5,42.9,31.0,18.6
IL,Henry County,7.7,34.4,33.9,23.9
IL,Iroquois County,11.6,38.5,34.0,15.9
IL,Jackson County,8.4,22.9,34.6,34.2
IL,Jasper County,8.0,37.6,34.7,19.8
IL,Jefferson County,10.1,31.7,40.0,18.2
IL,Jersey County,7.6,37.3,32.7,22.4
IL,Jo Daviess County,7.8,35.7,31.4,25.1
IL,Johnson County,16.9,32.6,33.2,17.3
IL,Kane County,14.0,22.6,27.5,36.0
IL,Kankakee County,10.5,34.8,34.0,20.7
IL,Kendall County,6.4,24.6,33.7,35.3
IL,Knox County,11.1,35.2,34.1,19.7
IL,Lake County,9.2,20.1,24.3,46.3
IL,La Salle County,9.4,35.5,36.6,18.5
IL,Lawrence County,15.6,36.6,34.4,13.3
IL,Lee County,10.4,34.6,36.3,18.6
IL,Livingston County,9.9,41.9,31.4,16.8
IL,Logan County,9.7,35.6,33.6,21.1
IL,McDonough County,5.0,32.9,29.9,32.2
IL,McHenry County,6.5,26.0,32.4,35.2
IL,McLean County,4.0,23.3,27.1,45.6
IL,Macon County,8.3,35.4,32.9,23.5
IL,Macoupin County,8.9,40.5,32.2,18.5
IL,Madison County,7.0,29.0,35.5,28.5
IL,Marion County,11.0,34.9,37.8,16.2
IL,Marshall County,7.6,39.2,35.2,18.0
IL,Mason County,9.4,40.9,33.0,16.7
IL,Massac County,12.7,34.7,39.5,13.1
IL,Menard County,4.3,33.8,37.5,24.4
IL,Mercer County,7.5,38.5,35.3,18.7
IL,Monroe County,4.7,25.6,32.7,37.1
IL,Montgomery County,12.2,39.9,30.1,17.9
IL,Morgan County,10.6,38.9,29.5,21.1
IL,Moultrie County,13.5,33.1,33.6,19.8
IL,Ogle County,9.0,34.1,35.3,21.6
IL,Peoria County,7.8,27.4,31.8,32.9
IL,Perry County,16.4,37.0,34.9,11.6
IL,Piatt County,6.3,32.1,30.6,31.1
IL,Pike County,8.9,41.3,32.3,17.6
IL,Pope County,10.9,43.2,31.5,14.5
IL,Pulaski County,10.7,40.0,34.6,14.7
IL,Putnam County,6.7,39.7,33.7,20.0
IL,Randolph County,14.9,38.4,33.5,13.2
IL,Richland County,7.7,31.2,41.7,19.4
IL,Rock Island County,11.0,29.6,35.8,23.6
IL,St. Clair County,7.7,27.3,35.3,29.6
IL,Saline County,12.2,29.2,39.5,19.2
IL,Sangamon County,7.2,27.6,31.2,34.0
IL,Schuyler County,7.6,38.6,36.5,17.4
IL,Scott County,6.0,44.4,27.5,22.1
IL,Shelby County,6.8,42.8,33.0,17.4
IL,Stark County,10.4,39.1,31.0,19.5
IL,Stephenson County,8.1,33.6,37.0,21.3
IL,Tazewell County,6.8,30.4,35.2,27.7
IL,Union County,10.8,35.3,31.2,22.7
IL,Vermilion County,9.8,41.1,32.9,16.3
IL,Wabash County,8.1,33.2,40.2,18.5
IL,Warren County,12.1,33.8,31.7,22.4
IL,Washington County,7.9,33.1,36.4,22.6
IL,Wayne County,12.6,34.8,37.4,15.2
IL,White County,10.3,34.1,39.4,16.2
IL,Whiteside County,8.7,37.9,34.6,18.8
IL,Will County,8.5,26.0,30.1,35.4
IL,Williamson County,7.3,29.8,36.2,26.6
IL,Winnebago County,11.8,31.3,33.6,23.3
IL,Woodford County,5.7,28.1,31.3,34.9
IN,Indiana,10.2,33.0,28.9,27.8
IN,Adams County,13.7,44.3,27.5,14.4
IN,Allen County,9.9,28.2,32.0,29.9
IN,Bartholomew County,8.4,30.4,26.0,35.2
IN,Benton County,11.6,40.2,30.7,17.5
IN,Blackford County,9.1,49.5,27.2,14.2
IN,Boone County,5.6,19.0,26.0,49.4
IN,Brown County,6.9,34.2,31.1,27.7
IN,Carroll County,10.9,42.4,32.0,14.7
IN,Cass County,15.3,41.3,29.7,13.6
IN,Clark County,9.1,35.0,33.1,22.8
IN,Clay County,8.8,41.6,33.3,16.3
IN,Clinton County,13.2,45.4,26.5,14.9
IN,Crawford County,17.1,46.9,24.2,11.7
IN,Daviess County,23.1,33.7,29.5,13.7
IN,Dearborn County,9.2,38.2,27.6,24.9
IN,Decatur County,8.2,44.5,26.5,20.8
IN,DeKalb County,9.0,43.5,28.8,18.7
IN,Delaware County,9.5,33.6,31.4,25.4
IN,Dubois County,10.0,37.8,27.5,24.6
IN,Elkhart County,18.1,34.6,27.3,20.0
IN,Fayette County,15.1,44.4,25.5,15.1
IN,Floyd County,8.7,30.8,30.2,30.3
IN,Fountain County,12.1,43.8,31.0,13.0
IN,Franklin County,11.7,40.3,26.6,21.4
IN,Fulton County,12.5,39.8,31.5,16.3
IN,Gibson County,8.5,41.8,31.5,18.2
IN,Grant County,11.7,37.7,31.0,19.6
IN,Greene County,11.6,39.3,33.3,15.7
IN,Hamilton County,2.8,14.4,22.3,60.5
IN,Hancock County,6.7,30.1,30.6,32.6
IN,Harrison County,9.8,42.1,29.4,18.8
IN,Hendricks County,4.9,26.6,29.1,39.5
IN,Henry County,9.2,42.7,30.5,17.5
IN,Howard County,9.1,37.6,32.5,20.8
IN,Huntington County,7.2,42.2,29.7,20.9
IN,Jackson County,10.9,41.6,30.0,17.5
IN,Jasper County,8.6,44.9,29.1,17.4
IN,Jay County,12.0,47.1,28.0,12.9
IN,Jefferson County,10.5,40.8,30.3,18.4
IN,Jennings County,11.1,42.5,30.9,15.4
IN,Johnson County,7.2,31.0,29.0,32.8
IN,Knox County,11.3,35.4,34.6,18.6
IN,Kosciusko County,12.3,34.9,28.6,24.3
IN,LaGrange County,40.4,28.7,20.5,10.4
IN,Lake County,10.2,35.4,30.7,23.7
IN,LaPorte County,10.6,39.8,29.9,19.7
IN,Lawrence County,11.2,38.0,31.1,19.8
IN,Madison County,10.2,39.9,30.9,19.0
IN,Marion County,13.1,27.5,26.6,32.8
IN,Marshall County,14.5,37.1,27.9,20.5
IN,Martin County,12.7,43.1,29.8,14.4
IN,Miami County,13.6,42.4,29.3,14.7
IN,Monroe County,6.1,21.0,25.5,47.4
IN,Montgomery County,9.5,41.9,28.3,20.2
IN,Morgan County,11.5,39.9,29.4,19.1
IN,Newton County,12.2,45.6,30.5,11.7
IN,Noble County,17.2,39.4,27.1,16.3
IN,Ohio County,10.7,42.6,31.0,15.7
IN,Orange County,15.1,44.7,26.8,13.3
IN,Owen County,14.1,44.0,27.9,14.0
IN,Parke County,15.1,38.8,33.1,13.0
IN,Perry County,9.2,45.8,29.4,15.6
IN,Pike County,11.8,45.1,28.9,14.2
IN,Porter County,5.9,34.4,29.4,30.3
IN,Posey County,7.3,36.5,32.0,24.2
IN,Pulaski County,12.8,45.5,28.6,13.1
IN,Putnam County,10.9,41.1,30.3,17.7
IN,Randolph County,10.9,41.7,31.2,16.2
IN,Ripley County,9.8,41.0,29.9,19.2
IN,Rush County,10.3,45.4,28.0,16.3
IN,St. Joseph County,9.0,29.6,29.3,32.1
IN,Scott County,19.0,41.6,26.1,13.3
IN,Shelby County,10.9,44.0,26.4,18.7
IN,Spencer County,8.6,41.2,31.0,19.2
IN,Starke County,14.4,44.8,28.9,11.9
IN,Steuben County,7.6,39.6,29.8,22.9
IN,Sullivan County,12.6,42.5,32.3,12.6
IN,Switzerland County,15.0,51.3,24.5,9.2
IN,Tippecanoe County,7.4,26.9,25.1,40.6
IN,Tipton County,9.4,40.7,25.1,24.8
IN,Union County,11.8,39.2,29.1,19.9
IN,Vanderburgh County,9.1,31.6,32.1,27.2
IN,Vermillion County,8.6,41.2,33.7,16.5
IN,Vigo County,10.4,33.6,31.0,25.1
IN,Wabash County,10.1,42.5,27.5,19.9
IN,Warren County,6.5,43.1,32.4,18.0
IN,Warrick County,5.5,28.3,33.5,32.8
IN,Washington County,13.3,42.4,31.4,12.8
IN,Wayne County,11.8,36.7,32.0,19.4
IN,Wells County,6.8,42.9,32.2,18.0
IN,White County,10.9,39.8,31.7,17.6
IN,Whitley County,7.9,36.6,32.4,23.1
IA,Iowa,7.2,30.6,32.5,29.7
IA,Adair County,5.3,40.4,34.9,19.5
IA,Adams County,5.5,36.0,36.3,22.3
IA,Allamakee County,9.6,41.0,32.1,17.3
IA,Appanoose County,9.1,35.5,36.4,18.9
IA,Audubon County,8.2,36.1,34.2,21.5
IA,Benton County,5.8,36.9,35.6,21.6
IA,Black Hawk County,7.9,29.7,32.9,29.5
IA,Boone County,5.9,32.2,36.3,25.6
IA,Bremer County,3.5,30.4,32.4,33.7
IA,Buchanan County,6.2,35.1,37.3,21.4
IA,Buena Vista County,20.6,31.1,26.6,21.7
IA,Butler County,5.9,36.6,38.5,19.1
IA,Calhoun County,6.0,38.2,34.9,20.9
IA,Carroll County,5.8,34.2,37.9,22.1
IA,Cass County,10.7,33.8,34.5,21.0
IA,Cedar County,4.4,38.7,35.0,21.8
IA,Cerro Gordo County,6.5,33.4,36.2,23.9
IA,Cherokee County,6.5,40.1,32.0,21.4
IA,Chickasaw County,6.7,44.8,30.2,18.4
IA,Clarke County,15.5,41.5,28.3,14.7
IA,Clay County,4.6,33.8,37.8,23.9
IA,Clayton County,9.1,43.6,30.0,17.4
IA,Clinton County,8.0,37.6,33.1,21.3
IA,Crawford County,18.7,36.6,27.9,16.8
IA,Dallas County,4.1,18.5,27.0,50.4
IA,Davis County,20.5,28.9,31.4,19.1
IA,Decatur County,10.1,37.7,25.8,26.4
IA,Delaware County,7.8,43.2,30.2,18.8
IA,Des Moines County,7.1,32.2,38.8,21.9
IA,Dickinson County,4.4,27.0,37.0,31.5
IA,Dubuque County,6.2,32.4,29.3,32.1
IA,Emmet County,10.3,34.7,38.7,16.3
IA,Fayette County,7.4,42.5,32.8,17.2
IA,Floyd County,7.2,38.9,33.6,20.3
IA,Franklin County,9.2,35.7,37.1,18.0
IA,Fremont County,5.3,36.6,40.1,18.0
IA,Greene County,6.8,37.1,35.5,20.5
IA,Grundy County,4.6,33.1,36.4,25.9
IA,Guthrie County,5.6,35.4,38.3,20.6
IA,Hamilton County,6.5,33.0,36.2,24.2
IA,Hancock County,8.2,36.5,35.0,20.3
IA,Hardin County,7.6,35.8,36.9,19.7
IA,Harrison County,7.8,38.9,34.0,19.3
IA,Henry County,8.1,36.2,34.0,21.7
IA,Howard County,8.4,40.6,32.8,18.2
IA,Humboldt County,6.9,37.7,37.2,18.3
IA,Ida County,7.4,39.7,33.6,19.3
IA,Iowa County,5.5,36.6,34.9,23.1
IA,Jackson County,6.5,42.0,32.2,19.3
IA,Jasper County,5.9,39.8,35.2,19.1
IA,Jefferson County,7.2,24.9,29.6,38.3
IA,Johnson County,3.8,15.4,26.8,54.1
IA,Jones County,5.3,38.5,34.5,21.7
IA,Keokuk County,7.0,42.8,33.1,17.0
IA,Kossuth County,6.4,35.0,39.7,18.9
IA,Lee County,6.7,37.2,36.9,19.2
IA,Linn County,5.1,25.9,34.6,34.3
IA,Louisa County,15.5,37.3,31.9,15.3
IA,Lucas County,7.2,43.1,34.8,14.9
IA,Lyon County,6.3,40.5,33.9,19.3
IA,Madison County,3.5,33.6,38.1,24.8
IA,Mahaska County,8.0,39.6,31.4,21.0
IA,Marion County,6.0,33.5,29.6,30.9
IA,Marshall County,14.7,34.5,30.0,20.7
IA,Mills County,4.8,31.4,35.2,28.7
IA,Mitchell County,7.2,34.8,36.5,21.5
IA,Monona County,7.2,39.8,38.0,15.0
IA,Monroe County,6.5,40.5,33.2,19.8
IA,Montgomery County,7.8,34.7,38.8,18.7
IA,Muscatine County,10.4,34.9,31.8,22.9
IA,O'Brien County,8.4,36.5,33.8,21.3
IA,Osceola County,11.4,37.7,33.8,17.0
IA,Page County,7.9,38.8,36.0,17.3
IA,Palo Alto County,6.5,29.4,40.7,23.3
IA,Plymouth County,5.6,35.3,35.3,23.8
IA,Pocahontas County,10.5,36.5,35.9,17.1
IA,Polk County,7.5,24.9,29.6,38.0
IA,Pottawattamie County,10.0,32.5,34.6,22.9
IA,Poweshiek County,5.8,38.5,26.0,29.6
IA,Ringgold County,6.7,39.6,33.3,20.3
IA,Sac County,6.4,36.3,39.2,18.1
IA,Scott County,6.1,27.9,32.5,33.6
IA,Shelby County,6.5,34.9,36.6,22.0
IA,Sioux County,8.0,29.3,31.7,31.1
IA,Story County,3.1,16.8,29.0,51.1
IA,Tama County,9.3,41.1,33.1,16.5
IA,Taylor County,9.2,38.6,35.0,17.2
IA,Union County,8.9,33.0,35.4,22.7
IA,Van Buren County,12.2,38.2,33.3,16.3
IA,Wapello County,12.0,36.6,32.3,19.1
IA,Warren County,4.2,29.5,34.0,32.3
IA,Washington County,8.1,36.9,31.4,23.6
IA,Wayne County,10.5,42.3,32.1,15.2
IA,Webster County,8.5,34.9,36.7,19.9
IA,Winnebago County,5.7,33.0,37.3,24.1
IA,Winneshiek County,4.1,33.9,31.4,30.6
IA,Woodbury County,12.3,32.6,31.8,23.3
IA,Worth County,6.9,35.8,37.3,20.0
IA,Wright County,7.3,36.7,36.6,19.4
KS,Kansas,8.4,25.7,31.5,34.4
KS,Allen County,7.3,36.2,37.8,18.7
KS,Anderson County,14.4,37.7,31.5,16.4
KS,Atchison County,6.0,42.4,29.4,22.1
KS,Barber County,8.7,34.4,32.2,24.7
KS,Barton County,11.3,30.8,37.0,20.9
KS,Bourbon County,9.9,31.5,35.0,23.5
KS,Brown County,6.5,38.0,36.4,19.1
KS,Butler County,6.3,26.6,34.9,32.3
KS,Chase County,6.5,32.0,32.2,29.3
KS,Chautauqua County,12.0,33.5,39.4,15.2
KS,Cherokee County,11.7,32.0,36.7,19.6
KS,Cheyenne County,7.9,33.5,37.0,21.6
KS,Clark County,5.7,29.2,37.8,27.3
KS,Clay County,5.8,36.1,32.3,25.8
KS,Cloud County,5.0,31.7,41.0,22.3
KS,Coffey County,6.2,32.5,38.6,22.7
KS,Comanche County,4.2,32.2,45.4,18.1
KS,Cowley County,8.1,30.0,37.8,24.1
KS,Crawford County,6.8,29.0,34.0,30.1
KS,Decatur County,6.6,33.2,37.9,22.3
KS,Dickinson County,6.7,31.6,37.3,24.5
KS,Doniphan County,8.8,34.3,38.1,18.7
KS,Douglas County,3.7,18.7,25.2,52.3
KS,Edwards County,12.7,33.8,35.4,18.2
KS,Elk County,12.8,37.8,31.5,18.0
KS,Ellis County,6.0,27.5,29.1,37.4
KS,Ellsworth County,8.3,34.5,36.4,20.8
KS,Finney County,28.2,24.0,30.1,17.7
KS,Ford County,24.9,24.1,30.5,20.5
KS,Franklin County,7.2,37.5,32.2,23.0
KS,Geary County,6.2,24.8,45.2,23.9
KS,Gove County,5.7,39.3,35.4,19.6
KS,Graham County,6.2,35.5,31.9,26.4
KS,Grant County,20.9,23.7,31.3,24.1
KS,Gray County,22.4,22.9,31.6,23.1
KS,Greeley County,12.2,23.5,35.0,29.3
KS,Greenwood County,7.6,36.5,38.2,17.6
KS,Hamilton County,18.8,39.9,21.9,19.4
KS,Harper County,10.9,38.2,34.1,16.8
KS,Harvey County,8.3,23.2,36.5,32.0
KS,Haskell County,27.6,23.2,33.9,15.3
KS,Hodgeman County,8.6,24.4,36.8,30.2
KS,Jackson County,5.7,40.1,33.0,21.2
KS,Jefferson County,5.1,39.2,31.1,24.6
KS,Jewell County,7.3,37.2,35.8,19.7
KS,Johnson County,3.7,13.8,26.2,56.3
KS,Kearny County,22.3,35.7,22.8,19.2
KS,Kingman County,8.8,31.4,37.5,22.2
KS,Kiowa County,11.9,29.0,34.5,24.6
KS,Labette County,9.9,31.2,36.6,22.3
KS,Lane County,4.3,28.4,43.5,23.8
KS,Leavenworth County,7.0,28.0,30.3,34.6
KS,Lincoln County,4.5,26.2,44.6,24.7
KS,Linn County,6.3,38.7,34.5,20.5
KS,Logan County,7.5,31.1,41.0,20.4
KS,Lyon County,11.6,31.6,30.0,26.7
KS,McPherson County,8.3,26.0,36.0,29.7
KS,Marion County,8.2,30.1,34.2,27.6
KS,Marshall County,8.6,39.3,33.3,18.8
KS,Meade County,15.5,23.0,39.2,22.4
KS,Miami County,4.7,30.1,32.4,32.8
KS,Mitchell County,5.2,25.7,43.2,25.9
KS,Montgomery County,10.0,32.0,37.6,20.5
KS,Morris County,7.2,35.3,32.2,25.3
KS,Morton County,12.3,35.9,34.6,17.2
KS,Nemaha County,6.6,37.3,28.0,28.1
KS,Neosho County,9.0,30.5,40.0,20.5
KS,Ness County,8.5,33.1,36.4,21.9
KS,Norton County,9.8,30.8,36.2,23.3
KS,Osage County,8.3,39.0,31.3,21.4
KS,Osborne County,5.9,34.2,38.4,21.5
KS,Ottawa County,5.0,33.2,40.5,21.2
KS,Pawnee County,9.3,33.0,38.3,19.5
KS,Phillips County,9.1,34.4,35.1,21.5
KS,Pottawatomie County,4.3,29.3,29.7,36.7
KS,Pratt County,7.2,27.1,33.7,32.1
KS,Rawlins County,4.5,27.6,46.2,21.7
KS,Reno County,8.7,30.1,40.5,20.7
KS,Republic County,4.8,31.4,37.7,26.1
KS,Rice County,7.1,31.1,39.3,22.5
KS,Riley County,3.9,16.1,31.9,48.2
KS,Rooks County,9.5,33.2,36.6,20.7
KS,Rush County,7.6,32.1,39.9,20.4
KS,Russell County,6.9,28.6,42.9,21.6
KS,Saline County,6.7,29.5,36.0,27.8
KS,Scott County,16.0,27.7,32.3,23.9
KS,Sedgwick County,10.4,26.3,32.0,31.2
KS,Seward County,29.6,31.0,28.1,11.3
KS,Shawnee County,6.8,30.4,30.6,32.3
KS,Sheridan County,4.2,33.9,39.1,22.8
KS,Sherman County,9.7,30.9,37.9,21.4
KS,Smith County,3.8,39.3,35.5,21.4
KS,Stafford County,7.8,30.9,34.9,26.4
KS,Stanton County,18.4,38.2,28.4,15.0
KS,Stevens County,26.1,26.9,34.8,12.2
KS,Sumner County,6.7,34.9,32.9,25.4
KS,Thomas County,7.9,23.2,44.8,24.1
KS,Trego County,5.3,29.4,41.5,23.8
KS,Wabaunsee County,3.6,37.3,34.9,24.3
KS,Wallace County,4.3,28.0,39.3,28.3
KS,Washington County,6.3,41.2,30.1,22.4
KS,Wichita County,13.4,31.6,37.0,18.0
KS,Wilson County,9.3,37.4,34.9,18.4
KS,Woodson County,9.4,38.4,31.8,20.4
KS,Wyandotte County,18.8,32.3,29.6,19.3
KY,Kentucky,12.3,32.8,29.2,25.7
KY,Adair County,14.8,39.4,26.8,18.9
KY,Allen County,14.1,41.6,26.9,17.4
KY,Anderson County,8.9,34.2,31.6,25.3
KY,Ballard County,10.8,39.2,33.9,16.1
KY,Barren County,15.8,43.1,24.0,17.2
KY,Bath County,18.0,43.9,23.2,14.9
KY,Bell County,24.7,42.1,23.3,9.9
KY,Boone County,6.8,28.6,30.6,34.0
KY,Bourbon County,14.2,34.3,28.4,23.1
KY,Boyd County,11.7,32.7,35.0,20.6
KY,Boyle County,10.3,35.2,27.8,26.7
KY,Bracken County,11.1,46.9,28.9,13.0
KY,Breathitt County,22.5,38.4,22.2,16.9
KY,Breckinridge County,13.9,44.3,27.6,14.2
KY,Bullitt County,10.5,40.8,32.6,16.1
KY,Butler County,19.2,45.9,21.1,13.8
KY,Caldwell County,13.1,40.9,28.9,17.1
KY,Calloway County,9.8,31.4,27.2,31.6
KY,Campbell County,7.0,26.7,27.7,38.7
KY,Carlisle County,14.7,47.7,25.1,12.5
KY,Carroll County,19.2,42.3,31.9,6.6
KY,Carter County,20.5,39.9,26.7,12.9
KY,Casey County,25.5,40.5,22.4,11.6
KY,Christian County,13.8,31.6,36.2,18.3
KY,Clark County,10.8,36.4,32.8,20.1
KY,Clay County,31.7,37.8,19.0,11.5
KY,Clinton County,21.9,38.4,25.8,13.8
KY,Crittenden County,14.2,44.0,28.8,12.9
KY,Cumberland County,20.4,45.8,20.4,13.4
KY,Daviess County,9.1,33.8,32.1,25.0
KY,Edmonson County,19.1,45.8,24.9,10.2
KY,Elliott County,24.9,46.3,19.9,8.9
KY,Estill County,25.7,42.9,20.8,10.6
KY,Fayette County,7.6,18.9,27.9,45.6
KY,Fleming County,18.7,40.4,25.3,15.7
KY,Floyd County,22.9,39.0,25.5,12.6
KY,Franklin County,9.4,30.3,30.7,29.6
KY,Fulton County,20.0,39.1,27.2,13.7
KY,Gallatin County,15.0,49.6,25.0,10.4
KY,Garrard County,14.5,38.1,26.9,20.5
KY,Grant County,11.7,45.3,28.0,15.0
KY,Graves County,10.5,40.7,30.8,18.0
KY,Grayson County,16.8,45.5,26.3,11.4
KY,Green County,19.2,40.8,26.1,13.9
KY,Greenup County,9.8,36.5,36.9,16.8
KY,Hancock County,14.5,42.7,27.5,15.3
KY,Hardin County,8.0,30.6,38.8,22.6
KY,Harlan County,25.1,35.8,29.6,9.5
KY,Harrison County,15.0,40.5,27.1,17.5
KY,Hart County,22.0,42.9,24.5,10.6
KY,Henderson County,11.5,38.0,32.4,18.0
KY,Henry County,15.7,41.8,28.7,13.8
KY,Hickman County,11.3,39.0,25.3,24.4
KY,Hopkins County,12.3,39.9,31.3,16.5
KY,Jackson County,28.7,44.1,18.2,9.1
KY,Jefferson County,8.7,26.3,29.9,35.0
KY,Jessamine County,10.3,31.8,28.3,29.6
KY,Johnson County,16.9,39.6,27.4,16.1
KY,Kenton County,8.5,27.4,28.6,35.5
KY,Knott County,29.6,29.5,24.9,16.0
KY,Knox County,24.0,39.0,21.8,15.3
KY,Larue County,19.2,33.8,30.1,16.9
KY,Laurel County,17.5,39.5,27.5,15.4
KY,Lawrence County,23.6,42.6,21.7,12.2
KY,Lee County,27.1,40.9,24.2,7.9
KY,Leslie County,16.5,45.8,28.5,9.2
KY,Letcher County,23.0,35.6,31.1,10.3
KY,Lewis County,22.8,43.8,24.5,8.8
KY,Lincoln County,17.6,44.0,24.7,13.7
KY,Livingston County,13.6,41.7,30.1,14.6
KY,Logan County,12.5,43.7,26.9,16.9
KY,Lyon County,10.8,44.8,30.1,14.3
KY,McCracken County,7.6,32.2,33.5,26.7
KY,McCreary County,22.0,41.5,29.4,7.0
KY,McLean County,10.0,38.9,33.7,17.4
KY,Madison County,10.3,27.1,29.1,33.4
KY,Magoffin County,27.9,37.7,23.5,10.9
KY,Marion County,14.7,44.2,27.0,14.1
KY,Marshall County,8.2,35.6,34.8,21.4
KY,Martin County,26.3,35.6,26.3,11.8
KY,Mason County,13.9,30.9,33.0,22.2
KY,Meade County,10.7,39.7,32.3,17.3
KY,Menifee County,23.4,43.2,22.4,11.1
KY,Mercer County,11.9,34.8,33.2,20.1
KY,Metcalfe County,18.5,43.0,24.7,13.8
